pattern,direction,expiration,payout,sample,trades,wins,winrate,wilson,expectancy
inside_break_mid,short,15m,0.87,IS,1991,998,0.5012556504269211,0.479311520824452,-0.06265193370165756
inside_break_color,short,15m,0.87,IS,1021,508,0.4975514201762977,0.4669485415442063,-0.06957884427032324
engulfing_strict,bullish_engulfing,30m,0.9,IS,651,327,0.5023041474654378,0.4639946350171439,-0.045622119815668105
engulfing_strict,bullish_engulfing,15m,0.87,IS,651,324,0.4976958525345622,0.4594133744497028,-0.0693087557603686
inside_break_mid,short,30m,0.9,IS,1991,952,0.4781516825715721,0.4562728941731042,-0.09151180311401297
inside_break_mid,long,15m,0.87,IS,1942,929,0.4783728115345005,0.456219929826001,-0.10544284243048407
inside_break_color,short,30m,0.9,IS,1021,495,0.48481880509304603,0.4542773494792049,-0.07884427032321256
inside_break_mid,long,30m,0.9,IS,1942,914,0.470648815653965,0.4485286674631254,-0.10576725025746653
pinbar_thr0.4,bullish,15m,0.87,IS,371,185,0.49865229110512127,0.4480486112479058,-0.06752021563342331
pinbar_thr0.5,bullish,15m,0.87,IS,371,185,0.49865229110512127,0.4480486112479058,-0.06752021563342331
pinbar_thr0.6,bullish,15m,0.87,IS,371,185,0.49865229110512127,0.4480486112479058,-0.06752021563342331
engulfing_strict,bearish_engulfing,15m,0.87,IS,768,366,0.4765625,0.4414431440423202,-0.108828125
engulfing_strict,bearish_engulfing,30m,0.9,IS,768,359,0.4674479166666667,0.43240980677668805,-0.11184895833333325
pinbar_thr0.4,bullish,30m,0.9,IS,371,178,0.4797843665768194,0.42941483906405414,-0.0884097035040432
pinbar_thr0.5,bullish,30m,0.9,IS,371,178,0.4797843665768194,0.42941483906405414,-0.0884097035040432
pinbar_thr0.6,bullish,30m,0.9,IS,371,178,0.4797843665768194,0.42941483906405414,-0.0884097035040432
pinbar_thr0.4,bearish,15m,0.87,IS,396,187,0.4722222222222222,0.4235543637339185,-0.11694444444444446
pinbar_thr0.5,bearish,15m,0.87,IS,396,187,0.4722222222222222,0.4235543637339185,-0.11694444444444446
pinbar_thr0.6,bearish,15m,0.87,IS,396,187,0.4722222222222222,0.4235543637339185,-0.11694444444444446
inside_break_color,long,15m,0.87,IS,977,444,0.45445240532241554,0.42346887389190807,-0.15017400204708298
inside_break_color,long,30m,0.9,IS,977,443,0.4534288638689867,0.4224552439577074,-0.13848515864892524
pinbar_thr0.4,bearish,30m,0.9,IS,396,184,0.46464646464646464,0.4160979148875919,-0.11717171717171715
pinbar_thr0.5,bearish,30m,0.9,IS,396,184,0.46464646464646464,0.4160979148875919,-0.11717171717171715
pinbar_thr0.6,bearish,30m,0.9,IS,396,184,0.46464646464646464,0.4160979148875919,-0.11717171717171715
engulfing_strict,bearish_engulfing,15m,0.87,OOS,324,175,0.5401234567901234,0.4857012796033249,0.010030864197530798
engulfing_strict,bearish_engulfing,30m,0.9,OOS,324,171,0.5277777777777778,0.4734103731829494,0.0027777777777778234
inside_break_mid,short,15m,0.87,OOS,836,416,0.49760765550239233,0.46380258290839477,-0.06947368421052641
inside_break_mid,short,30m,0.9,OOS,836,409,0.4892344497607656,0.45547509602437114,-0.07045454545454538
inside_break_mid,long,15m,0.87,OOS,836,406,0.48564593301435405,0.4519090644827229,-0.09184210526315789
engulfing_strict,bullish_engulfing,15m,0.87,OOS,287,146,0.5087108013937283,0.4511400909256559,-0.04871080139372813
inside_break_color,short,15m,0.87,OOS,420,209,0.4976190476190476,0.4500392630618066,-0.06945238095238093
inside_break_mid,long,30m,0.9,OOS,836,402,0.48086124401913877,0.44715705650939314,-0.08636363636363631
engulfing_strict,bullish_engulfing,30m,0.9,OOS,287,142,0.49477351916376305,0.43738139218950906,-0.05993031358885026
inside_break_color,short,30m,0.9,OOS,420,197,0.46904761904761905,0.42181673359859706,-0.1088095238095238
inside_break_color,long,15m,0.87,OOS,429,201,0.46853146853146854,0.42179890509619533,-0.12384615384615383
pinbar_thr0.4,bearish,30m,0.9,OOS,156,77,0.4935897435897436,0.4162358421497411,-0.062179487179487125
pinbar_thr0.5,bearish,30m,0.9,OOS,156,77,0.4935897435897436,0.4162358421497411,-0.062179487179487125
pinbar_thr0.6,bearish,30m,0.9,OOS,156,77,0.4935897435897436,0.4162358421497411,-0.062179487179487125
inside_break_color,long,30m,0.9,OOS,429,192,0.44755244755244755,0.4011710729263831,-0.14965034965034968
pinbar_thr0.4,bearish,15m,0.87,OOS,156,71,0.4551282051282051,0.37899770803741434,-0.14891025641025646
pinbar_thr0.5,bearish,15m,0.87,OOS,156,71,0.4551282051282051,0.37899770803741434,-0.14891025641025646
pinbar_thr0.6,bearish,15m,0.87,OOS,156,71,0.4551282051282051,0.37899770803741434,-0.14891025641025646
pinbar_thr0.4,bullish,15m,0.87,OOS,169,72,0.4260355029585799,0.35393908066984703,-0.20331360946745564
pinbar_thr0.5,bullish,15m,0.87,OOS,169,72,0.4260355029585799,0.35393908066984703,-0.20331360946745564
pinbar_thr0.6,bullish,15m,0.87,OOS,169,72,0.4260355029585799,0.35393908066984703,-0.20331360946745564
pinbar_thr0.4,bullish,30m,0.9,OOS,169,70,0.41420118343195267,0.3426469245847667,-0.21301775147928992
pinbar_thr0.5,bullish,30m,0.9,OOS,169,70,0.41420118343195267,0.3426469245847667,-0.21301775147928992
pinbar_thr0.6,bullish,30m,0.9,OOS,169,70,0.41420118343195267,0.3426469245847667,-0.21301775147928992
