time,open,high,low,close
1725148800000,58974.00000000,59076.59000000,58276.01000000,58524.21000000
1725163200000,58524.21000000,58599.98000000,57777.00000000,58478.64000000
1725177600000,58478.64000000,58504.81000000,57840.00000000,58240.52000000
1725192000000,58240.51000000,58360.38000000,57201.00000000,58217.00000000
1725206400000,58217.00000000,58788.93000000,57864.30000000,58514.00000000
1725220800000,58514.01000000,58656.77000000,57205.00000000,57301.86000000
1725235200000,57301.77000000,57767.14000000,57128.00000000,57742.01000000
1725249600000,57742.00000000,57987.99000000,57362.06000000,57547.99000000
1725264000000,57548.00000000,58680.76000000,57520.12000000,58422.01000000
1725278400000,58422.01000000,58808.00000000,58104.00000000,58537.99000000
1725292800000,58537.99000000,58666.64000000,58293.12000000,58439.99000000
1725307200000,58440.03000000,59425.69000000,58384.61000000,59132.13000000
1725321600000,59132.12000000,59809.65000000,59021.62000000,59110.99000000
1725336000000,59111.00000000,59259.00000000,58872.00000000,59112.00000000
1725350400000,59112.01000000,59195.63000000,58717.00000000,59072.00000000
1725364800000,59072.01000000,59350.00000000,57568.00000000,57725.00000000
1725379200000,57725.01000000,58251.09000000,57589.01000000,58046.00000000
1725393600000,58045.99000000,58247.00000000,57415.00000000,57487.73000000
1725408000000,57487.74000000,57943.53000000,55606.00000000,56653.98000000
1725422400000,56653.99000000,56881.00000000,56201.00000000,56746.00000000
1725436800000,56746.00000000,56909.94000000,56453.00000000,56573.00000000
1725451200000,56573.00000000,58181.43000000,56187.61000000,58134.00000000
1725465600000,58134.00000000,58519.00000000,57646.00000000,58058.01000000
1725480000000,58058.00000000,58390.00000000,57792.46000000,57970.90000000
1725494400000,57970.90000000,58327.07000000,56891.07000000,57135.42000000
1725508800000,57135.42000000,57291.10000000,56541.68000000,57155.10000000
1725523200000,57155.10000000,57232.00000000,56623.00000000,56698.01000000
1725537600000,56698.01000000,57350.00000000,55817.51000000,55976.01000000
1725552000000,55976.01000000,56710.00000000,55800.00000000,56060.01000000
1725566400000,56060.00000000,56259.97000000,55643.65000000,56180.00000000
1725580800000,56180.00000000,56858.88000000,55989.00000000,56588.00000000
1725595200000,56588.01000000,56747.91000000,55280.00000000,55804.29000000
1725609600000,55804.28000000,56262.11000000,55639.00000000,55999.09000000
1725624000000,55999.09000000,57008.00000000,53808.00000000,54045.01000000
1725638400000,54045.00000000,54435.00000000,53267.54000000,53534.28000000
1725652800000,53534.27000000,53969.99000000,52550.00000000,53962.97000000
1725667200000,53962.97000000,54095.65000000,53745.54000000,53818.91000000
1725681600000,53818.92000000,54405.37000000,53814.00000000,54286.00000000
1725696000000,54286.00000000,54492.98000000,54168.23000000,54326.00000000
1725710400000,54326.01000000,54829.00000000,54326.00000000,54780.00000000
1725724800000,54780.00000000,54850.00000000,54000.00000000,54404.01000000
1725739200000,54404.01000000,54437.97000000,53814.01000000,54160.86000000
1725753600000,54160.86000000,54509.00000000,53964.00000000,54402.99000000
1725768000000,54402.98000000,54575.00000000,54261.10000000,54436.25000000
1725782400000,54436.25000000,54722.85000000,54356.00000000,54556.08000000
