time,open,high,low,close
1758446700000,115502.88000000,115502.89000000,115452.28000000,115466.44000000
1758447000000,115466.45000000,115466.45000000,115372.81000000,115406.28000000
1758447300000,115406.28000000,115409.81000000,115329.03000000,115409.80000000
1758447600000,115409.81000000,115516.30000000,115409.80000000,115516.29000000
1758447900000,115516.29000000,115569.33000000,115475.78000000,115568.26000000
1758448200000,115568.26000000,115619.63000000,115568.26000000,115597.97000000
1758448500000,115597.98000000,115704.53000000,115597.97000000,115683.54000000
1758448800000,115683.53000000,115696.85000000,115683.53000000,115696.85000000
1758449100000,115696.85000000,115708.33000000,115662.32000000,115662.33000000
1758449400000,115662.32000000,115662.33000000,115662.32000000,115662.32000000
1758449700000,115662.33000000,115662.33000000,115619.75000000,115619.75000000
1758450000000,115619.75000000,115632.31000000,115600.99000000,115632.30000000
1758450300000,115632.31000000,115632.31000000,115627.21000000,115627.22000000
1758450600000,115627.22000000,115627.22000000,115580.00000000,115580.01000000
1758450900000,115580.01000000,115612.28000000,115580.00000000,115612.28000000
1758451200000,115612.27000000,115620.00000000,115556.88000000,115556.89000000
1758451500000,115556.88000000,115556.89000000,115504.13000000,115505.21000000
1758451800000,115505.21000000,115524.35000000,115505.21000000,115524.35000000
1758452100000,115524.34000000,115537.03000000,115519.08000000,115522.31000000
1758452400000,115522.31000000,115550.96000000,115522.31000000,115550.95000000
1758452700000,115550.95000000,115670.00000000,115550.95000000,115622.50000000
1758453000000,115622.49000000,115691.18000000,115622.49000000,115680.97000000
1758453300000,115680.98000000,115680.98000000,115621.06000000,115630.96000000
1758453600000,115630.97000000,115649.10000000,115625.96000000,115649.10000000
1758453900000,115649.10000000,115660.02000000,115649.09000000,115655.45000000
1758454200000,115655.44000000,115679.19000000,115655.44000000,115669.65000000
1758454500000,115669.65000000,115687.39000000,115669.65000000,115687.39000000
1758454800000,115687.38000000,115694.74000000,115687.38000000,115687.39000000
1758455100000,115687.39000000,115687.40000000,115654.68000000,115654.68000000
1758455400000,115654.68000000,115654.69000000,115604.98000000,115624.41000000
1758455700000,115624.40000000,115624.41000000,115603.44000000,115603.45000000
1758456000000,115603.45000000,115657.84000000,115603.44000000,115657.83000000
1758456300000,115657.84000000,115687.23000000,115657.84000000,115687.23000000
1758456600000,115687.23000000,115693.57000000,115687.22000000,115687.23000000
1758456900000,115687.23000000,115745.34000000,115687.22000000,115745.34000000
1758457200000,115745.33000000,115745.34000000,115726.24000000,115726.24000000
1758457500000,115726.24000000,115726.25000000,115717.54000000,115717.54000000
1758457800000,115717.55000000,115745.43000000,115717.54000000,115745.42000000
1758458100000,115745.42000000,115747.23000000,115745.42000000,115747.06000000
1758458400000,115747.07000000,115747.07000000,115732.32000000,115732.33000000
1758458700000,115732.32000000,115732.33000000,115717.54000000,115717.55000000
1758459000000,115717.54000000,115717.55000000,115717.53000000,115717.54000000
1758459300000,115717.53000000,115717.54000000,115683.59000000,115683.59000000
1758459600000,115683.59000000,115700.01000000,115674.39000000,115700.00000000
1758459900000,115700.01000000,115729.23000000,115700.00000000,115725.00000000
1758460200000,115725.01000000,115725.01000000,115708.76000000,115708.77000000
1758460500000,115708.77000000,115708.77000000,115700.74000000,115700.75000000
1758460800000,115700.75000000,115720.57000000,115700.03000000,115700.40000000
1758461100000,115700.40000000,115714.00000000,115700.40000000,115713.99000000
1758461400000,115713.99000000,115747.06000000,115713.99000000,115740.16000000
1758461700000,115740.16000000,115740.17000000,115660.01000000,115668.49000000
1758462000000,115668.49000000,115668.50000000,115645.20000000,115645.21000000
1758462300000,115645.21000000,115661.66000000,115645.20000000,115661.65000000
1758462600000,115661.66000000,115661.66000000,115661.65000000,115661.65000000
1758462900000,115661.65000000,115661.66000000,115661.65000000,115661.65000000
1758463200000,115661.65000000,115691.15000000,115661.65000000,115669.48000000
1758463500000,115669.48000000,115669.48000000,115648.47000000,115661.65000000
1758463800000,115661.64000000,115674.51000000,115661.64000000,115674.49000000
1758464100000,115674.49000000,115674.50000000,115645.76000000,115645.77000000
1758464400000,115645.76000000,115645.77000000,115609.70000000,115609.70000000
1758464700000,115609.71000000,115609.71000000,115554.24000000,115572.67000000
1758465000000,115572.67000000,115593.10000000,115572.66000000,115575.48000000
1758465300000,115575.48000000,115575.48000000,115564.27000000,115564.27000000
1758465600000,115564.28000000,115671.85000000,115500.00000000,115666.13000000
1758465900000,115666.14000000,115686.78000000,115586.61000000,115586.62000000
1758466200000,115586.62000000,115586.62000000,115546.27000000,115546.27000000
1758466500000,115546.27000000,115546.28000000,115500.00000000,115500.01000000
1758466800000,115500.00000000,115502.64000000,115500.00000000,115500.01000000
1758467100000,115500.01000000,115574.57000000,115500.01000000,115574.57000000
1758467400000,115574.56000000,115574.57000000,115548.41000000,115548.42000000
1758467700000,115548.42000000,115563.75000000,115546.28000000,115563.74000000
1758468000000,115563.75000000,115563.75000000,115510.77000000,115510.77000000
1758468300000,115510.77000000,115510.78000000,115500.00000000,115500.00000000
1758468600000,115500.01000000,115511.60000000,115473.19000000,115473.19000000
1758468900000,115473.20000000,115539.99000000,115473.19000000,115539.98000000
1758469200000,115539.98000000,115574.19000000,115539.98000000,115574.18000000
1758469500000,115574.19000000,115599.60000000,115540.00000000,115563.12000000
1758469800000,115563.12000000,115574.68000000,115550.00000000,115550.01000000
1758470100000,115550.00000000,115550.01000000,115519.73000000,115531.61000000
1758470400000,115531.62000000,115549.90000000,115493.54000000,115493.54000000
