time,open,high,low,close
1788143597,60000.0,60005.19,59985.13,59988.47
1788144497,59988.47,60048.46,59943.55,60044.63
1788145397,60044.63,60079.24,60038.12,60071.22
1788146297,60071.22,60087.46,60036.31,60080.49
1788147197,60080.49,60136.33,60058.34,60133.02
1788148097,60133.02,60140.41,60012.51,60051.85
1788148997,60051.85,60058.37,60035.89,60055.18
1788149897,60055.18,60064.55,59924.18,59938.89
1788150797,59938.89,60015.99,59927.6,60008.77
1788151697,60008.77,60052.09,59975.37,60028.62
1788152597,60028.62,60119.52,59950.03,60074.08
1788153497,60074.08,60101.56,59999.25,60025.53
1788154397,60025.53,60115.25,60000.11,60078.67
1788155297,60078.67,60081.26,59989.68,59998.5
1788156197,59998.5,60032.21,59979.35,60007.65
1788157097,60007.65,60055.14,59993.3,60035.64
1788157997,60035.64,60057.16,59971.38,59985.48
1788158897,59985.48,60032.93,59915.41,60025.43
1788159797,60025.43,60058.4,59936.83,59959.89
1788160697,59959.89,60088.8,59934.81,60073.63
1788161597,60073.63,60190.56,60030.95,60187.74
1788162497,60187.74,60216.33,60101.87,60145.18
1788163397,60145.18,60155.46,60135.71,60147.86
1788164297,60147.86,60223.17,60078.22,60205.75
1788165197,60205.75,60273.63,60188.89,60255.35
1788166097,60255.35,60283.91,60171.81,60188.82
1788166997,60188.82,60211.3,60161.49,60183.2
1788167897,60183.2,60238.44,60127.23,60159.71
1788168797,60159.71,60172.18,60078.48,60114.29
1788169697,60114.29,60122.13,60107.77,60112.81
1788170597,60112.81,60226.39,60104.6,60199.59
1788171497,60199.59,60226.69,60107.28,60118.71
1788172397,60118.71,60217.77,60060.12,60216.87
1788173297,60216.87,60264.66,60184.71,60188.16
1788174197,60188.16,60222.01,60142.33,60146.86
1788175097,60146.86,60285.21,60126.19,60260.72
1788175997,60260.72,60282.05,60053.98,60070.65
1788176897,60070.65,60089.47,60026.59,60026.66
1788177797,60026.66,60196.3,60013.82,60164.65
1788178697,60164.65,60286.98,60153.72,60273.59
1788179597,60273.59,60318.65,60266.99,60281.41
1788180497,60281.41,60307.97,60184.55,60184.64
1788181397,60184.64,60375.74,60143.67,60367.32
1788182297,60367.32,60370.98,60253.36,60263.06
1788183197,60263.06,60453.14,60233.34,60402.72
1788184097,60402.72,60496.03,60381.34,60450.02
1788184997,60450.02,60469.84,60412.58,60454.19
1788185897,60454.19,60475.57,60393.58,60469.82
1788186797,60469.82,60479.44,60373.87,60420.94
1788187697,60420.94,60428.78,60364.59,60389.3
1788188597,60389.3,60506.48,60355.79,60505.15
1788189497,60505.15,60557.29,60490.4,60541.78
1788190397,60541.78,60575.78,60483.12,60485.76
1788191297,60485.76,60579.97,60467.48,60541.74
1788192197,60541.74,60629.25,60534.43,60564.66
1788193097,60564.66,60568.02,60496.5,60540.99
1788193997,60540.99,60566.07,60505.12,60550.48
1788194897,60550.48,60602.28,60500.47,60509.46
1788195797,60509.46,60546.08,60483.32,60527.83
1788196697,60527.83,60606.29,60512.29,60576.44
1788197597,60576.44,60620.93,60547.16,60560.75
1788198497,60560.75,60583.11,60541.45,60557.13
1788199397,60557.13,60613.51,60545.12,60596.18
1788200297,60596.18,60698.77,60584.76,60677.39
1788201197,60677.39,60745.59,60621.52,60677.61
1788202097,60677.61,60742.42,60674.6,60733.23
1788202997,60733.23,60885.61,60666.0,60885.36
1788203897,60885.36,60895.87,60835.26,60849.99
1788204797,60849.99,60851.86,60786.25,60794.73
1788205697,60794.73,60874.08,60734.66,60810.93
1788206597,60810.93,60863.22,60767.36,60797.57
1788207497,60797.57,60915.92,60771.48,60820.97
1788208397,60820.97,60837.37,60687.17,60701.35
1788209297,60701.35,60795.53,60693.64,60756.82
1788210197,60756.82,60769.87,60591.43,60628.64
1788211097,60628.64,60724.6,60627.58,60665.89
1788211997,60665.89,60841.54,60649.04,60777.74
1788212897,60777.74,60839.69,60752.45,60802.49
1788213797,60802.49,60821.34,60785.08,60806.24
1788214697,60806.24,60840.8,60744.65,60767.98
1788215597,60767.98,60787.29,60606.06,60675.43
1788216497,60675.43,60688.92,60603.1,60648.76
1788217397,60648.76,60684.51,60636.79,60654.47
1788218297,60654.47,60674.7,60549.1,60594.92
1788219197,60594.92,60689.07,60495.01,60674.45
1788220097,60674.45,60693.06,60662.64,60671.87
1788220997,60671.87,60741.35,60608.92,60654.11
1788221897,60654.11,60666.11,60529.31,60542.16
1788222797,60542.16,60645.26,60474.49,60604.81
1788223697,60604.81,60606.94,60449.21,60452.3
1788224597,60452.3,60503.01,60415.57,60479.92
1788225497,60479.92,60489.79,60306.97,60318.08
1788226397,60318.08,60421.24,60312.35,60397.51
1788227297,60397.51,60509.55,60377.69,60505.46
1788228197,60505.46,60523.0,60398.84,60463.81
1788229097,60463.81,60483.81,60452.94,60476.32
1788229997,60476.32,60487.47,60367.7,60419.21
1788230897,60419.21,60437.5,60401.46,60422.27
1788231797,60422.27,60460.21,60412.93,60416.69
1788232697,60416.69,60476.92,60388.38,60421.58
1788233597,60421.58,60525.69,60401.49,60504.31
1788234497,60504.31,60513.66,60400.59,60413.15
1788235397,60413.15,60473.14,60334.82,60351.84
1788236297,60351.84,60368.43,60187.4,60199.62
1788237197,60199.62,60213.71,60187.91,60199.73
1788238097,60199.73,60234.48,60013.42,60036.6
1788238997,60036.6,60197.79,59982.51,60140.7
1788239897,60140.7,60163.78,59918.77,59976.25
1788240797,59976.25,60112.94,59942.02,60105.34
1788241697,60105.34,60285.45,60048.61,60266.14
1788242597,60266.14,60311.55,60262.8,60289.61
1788243497,60289.61,60330.82,60209.7,60252.4
1788244397,60252.4,60332.22,60227.59,60277.79
1788245297,60277.79,60300.7,60257.1,60294.64
1788246197,60294.64,60349.38,60266.33,60346.47
1788247097,60346.47,60511.18,60341.46,60487.43
1788247997,60487.43,60510.96,60399.57,60436.5
1788248897,60436.5,60450.28,60419.25,60424.78
1788249797,60424.78,60477.57,60401.87,60474.09
1788250697,60474.09,60498.98,60439.27,60459.44
1788251597,60459.44,60485.23,60421.91,60450.11
1788252497,60450.11,60479.64,60364.88,60390.85
1788253397,60390.85,60437.95,60318.74,60387.12
1788254297,60387.12,60435.5,60375.68,60389.06
1788255197,60389.06,60433.71,60375.52,60383.03
1788256097,60383.03,60419.77,60359.98,60405.99
1788256997,60405.99,60459.59,60340.5,60345.29
