time,open,high,low,close
1716485400000,1.08127,1.08149,1.08126,1.08131
1716486300000,1.08131,1.08148,1.08125,1.08146
1716487200000,1.08145,1.08149,1.08124,1.08126
1716488100000,1.08125,1.08135,1.08123,1.08134
1716489000000,1.08134,1.08136,1.08124,1.08125
1716489900000,1.08127,1.08131,1.08122,1.08131
1716490800000,1.08131,1.08141,1.08127,1.08132
1716491700000,1.08132,1.08149,1.0813,1.08143
1716492600000,1.08142,1.08147,1.08136,1.08141
1716493500000,1.08143,1.08149,1.08115,1.08116
1716494400000,1.08115,1.08115,1.08077,1.08095
1716495300000,1.08096,1.08102,1.08082,1.08095
1716496200000,1.08096,1.08104,1.08075,1.08097
1716497100000,1.08097,1.08125,1.08096,1.08101
1716498000000,1.08102,1.08111,1.08079,1.08105
1716498900000,1.08106,1.08129,1.08099,1.08117
1716499800000,1.08116,1.08137,1.08114,1.0812
1716500700000,1.08119,1.08125,1.081,1.08105
1716501600000,1.08105,1.0811,1.08082,1.08091
1716502500000,1.0809,1.08091,1.08079,1.08082
1716503400000,1.08081,1.08093,1.0807,1.08076
1716504300000,1.08076,1.08097,1.08076,1.08088
1716505200000,1.08088,1.08092,1.08075,1.08082
1716506100000,1.0808,1.08082,1.08075,1.08076
1716507000000,1.08077,1.08086,1.08064,1.08064
1716507900000,1.08065,1.08072,1.08056,1.08063
1716508800000,1.08063,1.08094,1.08054,1.0809
1716509700000,1.0809,1.08091,1.08076,1.08085
1716510600000,1.08086,1.08093,1.08081,1.08092
1716511500000,1.08091,1.08102,1.08089,1.08091
1716512400000,1.0809,1.08095,1.08082,1.0809
1716513300000,1.0809,1.08093,1.08075,1.08086
1716514200000,1.08086,1.08101,1.08076,1.08086
1716515100000,1.08086,1.08111,1.08086,1.08104
1716516000000,1.08107,1.08143,1.0809,1.08143
1716516900000,1.08143,1.08158,1.08101,1.08156
1716517800000,1.08153,1.0818,1.08141,1.08173
1716518700000,1.08172,1.08175,1.08122,1.08128
1716519600000,1.08129,1.08189,1.08129,1.08183
1716520500000,1.08185,1.08197,1.08163,1.08196
1716521400000,1.08195,1.08203,1.08173,1.08198
1716522300000,1.08198,1.08257,1.08198,1.08243
1716523200000,1.08243,1.08245,1.08211,1.0823
1716524100000,1.0823,1.08235,1.08203,1.08207
1716525000000,1.08207,1.08257,1.08197,1.08253
1716525900000,1.08251,1.08282,1.08243,1.08247
1716526800000,1.08246,1.08298,1.08236,1.08295
1716527700000,1.08296,1.08302,1.08272,1.08294
1716528600000,1.08293,1.08316,1.08275,1.08279
1716529500000,1.08278,1.08292,1.08274,1.08286
1716530400000,1.08287,1.08361,1.08276,1.08346
1716531300000,1.08346,1.08397,1.08338,1.08392
1716532200000,1.08393,1.08441,1.08372,1.0842
1716533100000,1.08421,1.08437,1.08402,1.08402
