p,mult,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
20,1.5,30,0.9,0.5263,6700,0.5494,0.5375,114220.4,0.545,2862,0.5479,0.5296,2712.03,0.4031,PASS
10,1.5,30,0.9,0.5263,6352,0.5537,0.5414,100674.84,0.601,2730,0.5469,0.5282,4314.77,0.3218,PASS
10,1.5,15,0.9,0.5263,6351,0.5593,0.547,81330.63,0.4633,2729,0.546,0.5273,2400.28,0.4077,PASS
20,2.0,30,0.9,0.5263,2949,0.5663,0.5483,71381.93,0.3001,1247,0.5597,0.532,645.05,0.2434,PASS
10,1.2,15,0.9,0.5263,9920,0.549,0.5392,60763.43,0.5632,4240,0.5439,0.5288,634.34,0.5038,PASS
30,1.2,60,0.9,0.5263,10186,0.5353,0.5256,58611.41,0.7326,4264,0.5446,0.5296,7822.63,0.4183,PASS
10,1.2,30,0.9,0.5263,9919,0.5435,0.5337,56003.2,0.5844,4241,0.5419,0.5268,2242.68,0.4147,PASS
20,1.5,15,0.9,0.5263,6700,0.5536,0.5417,55971.31,0.4012,2862,0.5486,0.5303,2644.85,0.3339,PASS
10,1.2,60,0.9,0.5263,9921,0.5402,0.5303,53741.99,0.6676,4241,0.5452,0.5301,7533.35,0.3437,PASS
10,1.5,60,0.9,0.5263,6351,0.542,0.5297,53418.04,0.5108,2731,0.5529,0.5342,3475.34,0.469,PASS
30,1.5,30,0.9,0.5263,6938,0.546,0.5342,47962.3,0.5833,2942,0.5326,0.5146,1148.65,0.4729,FAIL
20,1.2,30,0.9,0.5263,10031,0.5403,0.5306,36438.03,0.6678,4310,0.5323,0.5173,4568.75,0.4194,FAIL
30,1.2,30,0.9,0.5263,10186,0.5396,0.5299,34843.59,0.6021,4264,0.5366,0.5216,2012.3,0.6165,FAIL
20,2.0,30,0.87,0.5348,2949,0.5663,0.5483,31153.21,0.3165,1247,0.5597,0.532,118.31,0.2407,FAIL
50,1.2,60,0.9,0.5263,10243,0.5311,0.5214,26694.59,0.6284,4331,0.5384,0.5236,6802.67,0.61,FAIL
20,1.5,30,0.87,0.5348,6700,0.5494,0.5375,25050.77,0.5002,2862,0.5479,0.5296,1362.54,0.3988,FAIL
10,2.0,30,0.9,0.5263,2205,0.5741,0.5534,25042.93,0.2335,970,0.5402,0.5087,-13.8,0.3606,FAIL
20,2.0,15,0.9,0.5263,2949,0.5731,0.5551,23083.1,0.3076,1247,0.5485,0.5208,366.9,0.2142,FAIL
10,1.5,30,0.87,0.5348,6352,0.5537,0.5414,20800.45,0.5456,2730,0.5469,0.5282,2023.09,0.2936,FAIL
10,2.0,15,0.9,0.5263,2205,0.581,0.5602,20517.04,0.3014,970,0.5526,0.5211,239.13,0.2313,FAIL
30,1.5,60,0.9,0.5263,6938,0.5382,0.5264,18388.44,0.5841,2941,0.5301,0.512,2093.55,0.5885,FAIL
30,1.2,15,0.9,0.5263,10187,0.5427,0.533,15110.87,0.4695,4263,0.5388,0.5238,145.21,0.5383,FAIL
10,1.5,60,0.87,0.5348,6351,0.542,0.5297,14700.74,0.478,2731,0.5529,0.5342,1178.89,0.5641,FAIL
20,1.2,60,0.9,0.5263,10030,0.5333,0.5235,13757.2,0.7621,4310,0.5404,0.5255,8891.93,0.4993,FAIL
50,1.2,30,0.9,0.5263,10245,0.5361,0.5264,13422.33,0.6516,4332,0.5316,0.5167,2163.92,0.3883,FAIL
