fam,p,mult,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
keltner_EMA_ATR,50,1.5,60,0.9,0.5263,11859,0.5335,0.5245,232408.99,0.6053,5051,0.5359,0.5222,4017.02,0.4813,FAIL
keltner_EMA_ATR,200,2.5,60,0.9,0.5263,15067,0.5186,0.5106,164716.85,0.8244,6448,0.516,0.5038,2171.38,0.5149,FAIL
stretch_SMA_ATR,50,1.5,60,0.9,0.5263,13496,0.5282,0.5197,73846.38,0.7034,5628,0.5373,0.5243,20759.48,0.5682,FAIL
keltner_EMA_ATR,200,1.5,60,0.9,0.5263,18662,0.514,0.5068,67374.22,0.742,7980,0.5188,0.5078,3935.71,0.6427,FAIL
stretch_SMA_ATR,50,2.0,60,0.9,0.5263,10315,0.5294,0.5198,63781.45,0.6363,4268,0.537,0.522,4495.05,0.5181,FAIL
keltner_EMA_ATR,20,1.5,60,0.9,0.5263,5507,0.5449,0.5318,54334.68,0.3818,2516,0.5473,0.5278,2135.48,0.4103,PASS
stretch_SMA_ATR,20,1.5,60,0.9,0.5263,7263,0.5386,0.5271,51156.28,0.4877,3349,0.5452,0.5283,11517.66,0.5243,PASS
stretch_SMA_ATR,50,2.5,60,0.9,0.5263,7642,0.5348,0.5236,49638.29,0.4892,3153,0.5414,0.524,1244.38,0.636,FAIL
keltner_EMA_ATR,20,1.5,30,0.9,0.5263,5508,0.5492,0.536,46134.46,0.4133,2516,0.5401,0.5206,2741.95,0.4222,FAIL
stretch_SMA_ATR,20,1.5,30,0.9,0.5263,7264,0.543,0.5315,39051.06,0.5166,3349,0.5378,0.5209,3391.32,0.3642,FAIL
keltner_EMA_ATR,20,1.5,15,0.9,0.5263,5508,0.5543,0.5411,33366.07,0.5981,2516,0.5441,0.5246,1996.48,0.3356,FAIL
keltner_EMA_ATR,200,2.0,60,0.9,0.5263,16880,0.5153,0.5078,33211.93,0.7719,7180,0.5177,0.5061,3563.06,0.5971,FAIL
keltner_EMA_ATR,50,2.0,60,0.9,0.5263,8464,0.5337,0.523,30277.91,0.6805,3659,0.5403,0.5241,4257.04,0.5733,FAIL
