tag,rsi_per,ob,os_,macro_ema,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
RSI7 35/65 noMacro exp30m,7,65,35,None,30,0.9,0.5263,3094,0.5446,0.527,7048.12,0.332,1323,0.5193,0.4923,-429.53,0.5282,FAIL
RSI7 30/70 noMacro exp15m,7,70,30,None,15,0.9,0.5263,1733,0.5672,0.5438,6104.2,0.381,777,0.5302,0.4951,-182.19,0.3933,FAIL
RSI7 35/65 noMacro exp15m,7,65,35,None,15,0.9,0.5263,3094,0.5511,0.5335,5261.02,0.3129,1322,0.5234,0.4965,-235.32,0.5488,FAIL
RSI7 30/70 noMacro exp30m,7,70,30,None,30,0.9,0.5263,1733,0.5591,0.5357,4907.52,0.3295,777,0.5277,0.4925,-439.7,0.4916,FAIL
RSI7 30/70 noMacro exp60m,7,70,30,None,60,0.9,0.5263,1732,0.5543,0.5308,4261.98,0.3418,777,0.5302,0.4951,-335.38,0.4799,FAIL
RSI10 35/65 noMacro exp15m,10,65,35,None,15,0.9,0.5263,2283,0.558,0.5376,3970.29,0.3279,1027,0.5161,0.4855,-441.58,0.4965,FAIL
RSI10 35/65 noMacro exp60m,10,65,35,None,60,0.9,0.5263,2282,0.5517,0.5312,3597.81,0.4753,1027,0.5141,0.4836,-42.65,0.4454,FAIL
RSI7 30/70 noMacro exp15m,7,70,30,None,15,0.87,0.5348,1733,0.5672,0.5438,3445.63,0.4319,777,0.5302,0.4951,-280.93,0.4491,FAIL
RSI7 35/65 noMacro exp30m,7,65,35,None,30,0.87,0.5348,3094,0.5446,0.527,3425.25,0.3294,1323,0.5193,0.4923,-503.97,0.5682,FAIL
RSI10 35/65 noMacro exp30m,10,65,35,None,30,0.9,0.5263,2283,0.5537,0.5332,3390.96,0.3773,1027,0.518,0.4874,-443.84,0.5475,FAIL
RSI7 30/70 noMacro exp30m,7,70,30,None,30,0.87,0.5348,1733,0.5591,0.5357,2919.63,0.288,777,0.5277,0.4925,-487.66,0.4966,FAIL
RSI10 30/70 noMacro exp60m,10,70,30,None,60,0.9,0.5263,1143,0.5626,0.5336,2847.81,0.2636,514,0.5195,0.4763,123.65,0.2191,FAIL
RSI10 30/70 noMacro exp15m,10,70,30,None,15,0.9,0.5263,1143,0.5661,0.5371,2388.4,0.245,514,0.5097,0.4666,-117.33,0.1823,FAIL
RSI7 35/65 noMacro exp60m,7,65,35,None,60,0.9,0.5263,3093,0.5377,0.5201,2362.62,0.407,1323,0.517,0.4901,-516.76,0.5703,FAIL
RSI14 35/65 noMacro exp60m,14,65,35,None,60,0.9,0.5263,1679,0.5503,0.5264,2285.76,0.3147,764,0.5026,0.4672,-389.96,0.4149,FAIL
RSI7 30/70 noMacro exp60m,7,70,30,None,60,0.87,0.5348,1732,0.5543,0.5308,2174.01,0.3266,777,0.5302,0.4951,-397.71,0.4771,FAIL
RSI7 35/65 noMacro exp15m,7,65,35,None,15,0.87,0.5348,3094,0.5511,0.5335,1997.4,0.3912,1322,0.5234,0.4965,-344.69,0.5768,FAIL
RSI7 25/75 noMacro exp15m,7,75,25,None,15,0.9,0.5263,898,0.5768,0.5443,1984.85,0.2997,409,0.5086,0.4603,-164.77,0.319,FAIL
RSI10 30/70 noMacro exp60m,10,70,30,None,60,0.87,0.5348,1143,0.5626,0.5336,1984.63,0.2763,514,0.5195,0.4763,71.97,0.1925,FAIL
RSI10 30/70 noMacro exp30m,10,70,30,None,30,0.9,0.5263,1143,0.5582,0.5292,1959.6,0.2896,514,0.5019,0.4589,-328.1,0.3707,FAIL
RSI10 35/65 noMacro exp60m,10,65,35,None,60,0.87,0.5348,2282,0.5517,0.5312,1901.25,0.4738,1027,0.5141,0.4836,-117.61,0.4001,FAIL
RSI14 35/65 noMacro exp60m,14,65,35,None,60,0.87,0.5348,1679,0.5503,0.5264,1641.34,0.2683,764,0.5026,0.4672,-424.05,0.4339,FAIL
RSI7 30/70 EMA50 exp15m,7,70,30,50,15,0.9,0.5263,515,0.5942,0.5512,1624.96,0.1636,235,0.5106,0.4471,-205.02,0.2788,FAIL
RSI10 35/65 EMA50 exp15m,10,65,35,50,15,0.9,0.5263,657,0.5708,0.5326,1580.29,0.207,284,0.493,0.4353,-263.2,0.3023,FAIL
RSI14 35/65 noMacro exp30m,14,65,35,None,30,0.9,0.5263,1679,0.5468,0.5229,1579.07,0.3942,764,0.4921,0.4568,-273.01,0.4137,FAIL
RSI14 35/65 noMacro exp15m,14,65,35,None,15,0.9,0.5263,1679,0.5491,0.5253,1575.22,0.434,764,0.4987,0.4633,-278.2,0.3871,FAIL
RSI10 35/65 noMacro exp30m,10,65,35,None,30,0.87,0.5348,2283,0.5537,0.5332,1566.28,0.4248,1027,0.518,0.4874,-485.39,0.538,FAIL
RSI10 30/70 noMacro exp15m,10,70,30,None,15,0.87,0.5348,1143,0.5661,0.5371,1544.53,0.2712,514,0.5097,0.4666,-125.91,0.1562,FAIL
RSI21 35/65 noMacro exp60m,21,65,35,None,60,0.9,0.5263,1116,0.5636,0.5344,1523.06,0.2773,466,0.5043,0.459,-350.82,0.3979,FAIL
RSI7 25/75 noMacro exp30m,7,75,25,None,30,0.9,0.5263,898,0.5601,0.5275,1492.9,0.2419,409,0.5159,0.4675,-146.87,0.2789,FAIL
